リークアドレス,リークサイズ,保持時間
3105605356128,144,3955578
3105605356288,48,3955515
2756226802400,80,3955484
3057605415920,80,3955422
2756226799448,24,3955359
3105605359776,272,3955297
2756226802496,272,3955234
3057605416016,24,3955125
2756226802784,272,3955000
2756226803072,480,3954875
3057605417216,272,3954812
3105605360064,272,3954750
3057605417504,272,3954687
2756226803568,936,3954625
2756226800216,24,3954531
3057605417792,480,3954515
2756226804520,24,3954437
2756226804560,272,3954375
2756226804848,24,3954312
3057605418288,936,3954250
3057605416056,24,3954203
3057605416096,24,3954125
2756226804888,24,3954062
2756226804928,272,3954000
2756226805264,48,3953875
2756226805432,80,3953687
2756226805328,80,3953515
2756226805696,48,3953453
3105605360904,272,3953328
2756226805528,80,3953203
2756226806056,144,3953140
3057605419240,272,3953078
3057605416136,24,3953031
3105605361192,272,3952953
3057605416176,24,3952906
3057605419528,272,3952828
3105605356352,24,3952469
3057605419816,48,3952203
3105605356392,24,3952140
3105605356432,48,3952094
3057605419984,80,3951531
3057605419880,80,3951281
3057605416216,48,3951172
3105605360352,472,3951094
3105605355576,144,3950984
3105605360840,48,3950922
3105605361480,144,3950797
3057605420080,80,3950734
3057605420544,144,3950625
3105605358424,24,3950437
3105605362480,528,3950375
3105605361640,272,3950281
3057605420704,272,3950203
3057605420992,144,3950140
3057605421152,144,3950094
3057605421312,144,3950015
2756226806216,272,3949922
2756226806504,144,3949844
3105605358464,24,3949734
3105605358504,24,3949500
3105605355736,48,3949437
3105605355800,24,3948687
3105605362384,24,3948609
3105605362424,24,3948547
3105605361928,32,3948500
2756226806664,144,3948422
3105605361976,24,3948125
3105605362016,24,3948062
2756226806824,144,3948000
3105605362056,24,3947937
2756226805624,48,3947812
3105605362096,48,3947750
3105605362160,24,3947437
3105605362200,24,3947375
3105605362240,24,3947312
3105605362280,32,3947265
3105605362328,24,3946953
3105605363024,24,3946875
2756226805760,48,3946828
2756226805824,144,3946765
2756226806984,72,3946703
3105605363064,24,3946640
3105605363104,32,3946562
3105605363152,24,3946453
3105605363192,80,3946390
3105605363288,24,3946328
3105605363592,144,3946078
3105605363328,24,3945953
3105605363368,48,3945890
2756226807072,144,3945640
2756226807232,472,3945469
3105605363432,24,3945094
3105605363472,80,3945031
3105605363856,80,3944969
3105605364344,272,3944906
3105605364632,472,3944844
3105605365120,272,3944781
3105605365408,272,3944719
2756226807720,144,3944656
3105605363952,48,3944594
3105605365696,272,3944531
3105605365984,272,3944297
2756226807880,80,3944234
2756226807976,80,3944156
2756226808072,80,3944109
3105605366824,272,3944047
3105605367112,272,3943984
3105605366272,80,3943859
3105605366368,272,3943797
3105605367400,472,3943734
3105605367888,272,3943687
3105605368176,272,3943609
3105605366656,48,3943547
3105605368464,272,3943500
3105605368752,272,3943219
3105605369592,272,3943172
3105605369880,272,3943109
3105605366720,24,3942875
3105605363752,80,3942797
3105605366760,24,3942750
3105605364184,144,3942500
3105605364016,24,3942359
3105605364056,48,3942312
3105605369040,472,3941812
3105605370464,272,3941750
3105605364120,48,3941687
3105605370752,272,3941625
3105605369528,24,3941375
3105605371880,528,3941312
3105605371040,272,3941187
3105605371328,24,3941062
3105605370168,80,3941000
3105605370264,24,3940937
3105605370304,144,3940687
3105605371368,24,3940562
3105605371408,48,3940515
3105605371472,272,3940000
3105605371760,24,3939937
3105605371800,24,3939890
3105605371840,24,3939812
3105605372720,32,3939765
3105605372768,272,3939687
3105605373056,24,3939625
3105605373096,24,3939547
3105605373136,24,3939500
3105605373176,48,3939437
3105605355432,24,3939203
3105605355472,48,3939125
3105605358256,24,3938687
3105605372528,80,3938640
3105605372624,80,3938562
3105605373504,472,3938312
3105605373992,144,3938265
3105605374152,144,3938203
3105605373240,48,3938140
3105605374312,144,3938078
3105605374472,272,3937828
3105605375312,272,3937765
3105605375600,272,3937703
3105605373304,80,3937515
3105605375888,472,3937265
3105605373400,80,3937203
3105605374928,80,3937140
3105605375024,48,3937078
3105605375088,144,3937015
3105605376376,272,3936953
3105605376664,144,3936890
3105605376824,144,3936828
3105605376984,144,3936765
3105605375248,24,3936531
3105605372424,48,3936469
3105605377144,472,3936219
3105605358296,80,3936140
3105605374864,48,3936078
3105605377632,80,3936015
3105605377728,272,3935969
3105605372488,24,3935906
3105605378016,272,3935828
3105605378304,144,3935781
3105605374760,24,3935656
3105605374800,48,3935594
3105605378464,24,3935328
3105605378632,48,3935281
3105605378696,24,3935219
3105605378736,48,3935156
3105605378800,24,3934469
3105605379136,80,3934406
3105605379232,80,3934328
3105605379784,472,3934078
3105605379328,144,3934031
3105605380272,144,3933969
3105605380432,48,3933906
3105605380496,144,3933844
3105605380656,272,3933594
3105605381496,272,3933531
3105605381784,272,3933469
3105605380944,80,3933297
3105605379488,144,3933219
3105605382072,472,3933156
3105605381040,144,3933094
3105605381200,144,3933031
3105605379648,48,3932969
3105605382560,144,3932906
3105605382720,272,3932656
3105605383560,272,3932594
3105605383848,272,3932531
3105605379712,24,3932297
3105605381360,48,3932234
3105605381424,24,3932172
3105605383008,48,3932109
3105605384136,472,3931609
3105605383240,144,3931531
3105605383400,48,3931484
3105605383464,80,3931422
3105605378840,272,3931359
3105605384624,24,3931297
3105605384664,272,3931234
3105605384952,144,3931172
3105605383072,24,3931047
3105605383112,48,3930984
3105605383176,24,3930922
3105605385112,48,3930859
3105605385176,144,3930359
3105605385512,24,3930297
3105605385552,24,3930234
3105605385592,24,3930172
3105605385632,32,3930109
3105605385680,144,3930047
3105605385840,24,3929984
3105605385880,24,3929922
3105605385920,24,3929859
3105605385960,32,3929797
3105605386008,24,3929547
3105605386048,24,3929484
3105605386088,24,3929422
3105605386464,48,3929359
3105605386128,24,3929047
3105605386168,24,3928984
3105605386208,24,3928937
3105605386248,32,3928859
3105605386296,24,3928547
3105605386336,24,3928500
3105605386376,24,3928422
3105605386824,48,3928375
3105605386416,24,3928062
3105605386528,24,3928000
3105605386568,24,3927937
3105605386608,32,3927875
3105605386656,144,3927765
3105605386888,24,3927703
3105605386928,24,3927609
3105605386968,24,3927562
3105605387008,32,3927484
3105605387056,24,3927390
3105605387096,80,3927344
3105605387192,24,3927297
3105605387232,48,3927234
3105605387296,24,3926984
3105605387528,48,3926906
3105605387592,24,3926203
3105605387760,80,3926125
3105605387856,80,3926062
3105605388408,472,3925812
3105605388896,272,3925750
3105605389184,272,3925687
3105605387952,48,3925640
3105605389472,272,3925562
3105605389760,272,3925312
3105605390600,272,3925265
3105605390888,272,3925187
3105605390048,80,3925000
3105605391176,472,3924750
3105605390440,144,3924703
3105605388016,144,3924640
3105605388176,48,3924562
3105605391664,272,3924515
3105605391952,272,3924265
3105605392792,272,3924203
3105605393080,272,3924140
3105605387632,24,3923828
